TransactionID,Company,TransactionDate,TransactionTime,Site,AssetType,AssetID,AssetName,FuelType,Quantity,Unit,PricePerUnit_LKR,TotalCost_LKR,Supplier,ReceiptNo,PaymentMethod,DriverOperator,OdometerKM,GeneratorHours,WeatherCondition,OperationalContext,Notes
FT-202607-00799,LankaTech Solutions (Pvt) Ltd,2026-07-10,18:10:20,Galle Branch,Vehicle,WP QK 6723,Honda Fit,Petrol,34.81,l,329.94,11485.21,Local Fuel Station,RCP-847437,cash,Sahan Wijesinghe,143234.0,,Wet Roads,Maintenance work,regular petrol refill for honda fit.
FT-202607-01159,LankaTech Solutions (Pvt) Ltd,2026-07-13,12:16:27,Galle Branch,Vehicle,SP CAB 7788,Toyota Hilux,diesel,73.22,l,324.94,23792.11,Local Fuel Station ,RCP-229743,company fuel card,Ruwan Bandara,142117.0,,Heavy Rain,Inter-branch transfer,Fuel receipt entered manually by admin.
FT-202607-00798,LankaTech Solutions (Pvt) Ltd,2026-07-02,10:40:50,Colombo Head Office,generator,GEN-CMB-01,Diesel Generator,diesel,29.96,Litres,290.43,8701.28,Ceypetco,RCP-437780,cash, Sahan Wijesinghe,,,,Inter-branch transfer,Fuel issued for inter-branch transfer.
FT-202607-01451,LankaTech Solutions (Pvt) Ltd,03-Jul-2026,12:50:58,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux,DiesEl,115.34,liters,286.74,33072.59,Ceypetco,RCP-787503,Fuel Account,Chamath Jayasinghe,111761.0,,Wet Roads,Maintenance work,Consumption slightly higher due to wet roads.
FT-202607-01295,lankatech solutions (pvt) ltd,2026-07-25,08:31:50,Galle Branch,Vehicle,CP BDT 5521,Toyota TownAce,DIESEL,45.07,L,327.8,14773.95,Ceypetco,RCP-836259,company fuel card,Ruwan Bandara,130934.0,,Flooding,Inter-branch transfer,Additional trip resulted in higher consumption.
FT-202607-00954,LankaTech Solutions (Pvt) Ltd,2026/07/19,18:38:03,GALLE BRANCH,Vehicle,WP CAA 7812,Toyota Prius,petrol ,51.53,L ,312.29,16092.3,Ceypetco,RCP-978200,FUEL CARD,Chamath Jayasinghe,169364.0,,Normal,Month-end deliveries,Routine fuel purchase.
FT-202607-00642,LankaTech Solutions (Pvt) Ltd,12 Jul 2026,06:46:47,Colombo Head Office,VEHICLE,WP KX 2345,Isuzu D-Max, Diesel,102.36,litres,290.31,29716.13,Company Fuel Depot,RCP-352458,Company Fuel Card,Dinesh Kumara,93233.0,,Wet Roads,Inter-branch transfer,month-end fuel requirement.
FT-202607-01383,LankaTech Solutions (Pvt) Ltd,2026/07/17,08:15:05,kandy branch,Generator,GEN-KDY-01,Diesel Generator,DiesEl,96.36,litres,323.32,31155.12,Local Fuel Station,RCP-583594,Company Fuel Card,Pradeep Kumar,,12.4,Flooding,maintenanceWork, Fuel purchased for operational requirement. 
FT-202607-00508,LankaTech Solutions (Pvt) Ltd,2026/07/29,16:07:52,Colombo head office,Vehicle,CP CAE 9911,Mitsubishi Canter,DiesEl,47.76,L ,309.3,14772.17,Lanka IOC,RCP-353191,Fuel Account,Chamath Jayasinghe,186216.0,,Flooding,Inter-branch transfer, Additional fuel required due to increased activity. 
FT-202607-00195,LankaTech Solutions (Pvt) Ltd,09 Jul 2026,13:19:27,colombo head office,Vehicle,WP CAB 4521,Toyota Hiace,diesel ,84.47,ltr,297.98,25170.37,Lanka IOC,RCP-523798,Fuel Account,Kasun Fernando,123744.0,,Wet Roads,Month-end deliveries,Fuel receipt entered manually by admin.
FT-202607-01241,LankaTech Solutions (Pvt) Ltd,2026-07-10,07:05:15,Galle Branch,vehicle,CP CAE 9911,Mitsubishi Canter,diesel ,105.44,Litres,292.82,30874.94,Company Fuel Depot,RCP-383104,cash,Dinesh Kumara,101132.0,,Heavy Rain,Month-end deliveries,Fuel purchased for operational requirement.
FT-202607-00676,LankaTech Solutions (Pvt) Ltd,15-07-2026,13:46:47,Colombo Head Office,Vehicle,WP KX 2345,Isuzu D-Max,Diesel,72.22,l,315.43,22780.35,Company Fuel Depot,RCP-179562,Cash,Nimal Perera,35303.0,,Wet Roads,Increased deliveries,Additional trip resulted in higher consumption.
FT-202607-01210,LankaTech Solutions (Pvt) Ltd,2026-07-18,19:16:16,Colombo Head Office,Vehicle,WP KX 2345,Isuzu D-Max,diesel ,44.97,LTR,328.45,14770.4,Local Fuel Station,RCP-103999,corporate credit,Sahan Wijesinghe,84008.0,,Flooding,Month-End Deliveries,Regular diesel refill for Isuzu D-Max.
FT-202607-01270,LankaTech Solutions (Pvt) Ltd,2026-07-07,09:29:57,Colombo Head Office,Vehicle,WP RAB 3842,Isuzu Elf,DIESEL,42.43,liters,292.79,12423.08, Company Fuel Depot,RCP-471802,company fuel card,Sahan Wijesinghe,69709.0,,Rain,Maintenance work,Extra trip completed from Colombo Head Office.
FT-202607-00770,LankaTech Solutions (Pvt) Ltd,28/07/2026,12:07:46,Kurunegala Warehouse,GENERATOR,GEN-KUR-01,Diesel Generator, Diesel,21.83,L,305.02,6658.59,Lanka IOC,RCP-518788,Corporate Credit,Lahiru Senanayake,,3.3,Wet Roads,Month-end deliveries,Refuelling completed at approved station.
FT-202607-00031,LankaTech Solutions (Pvt) Ltd,2026-07-20,13:02:48,Colombo Head Office,Generator,GEN-CMB-02,Diesel Generator, Diesel,73.39,litres,313.1,22978.41,Local Fuel Station,RCP-425776,Corporate Credit,Amal Fernando,,10.0,Rain,Emergency operations,Additional trip resulted in higher consumption.
FT-202607-00097,LankaTech Solutions (Pvt) Ltd,29 Jul 2026,11:00:12,Colombo Head Office,Vehicle,SP CAB 7788,Toyota Hilux,DIESEL,61.36,ltr,296.17,18172.99,Lanka IOC,RCP-598017,fuel_account,Dinesh Kumara,48618.0,,Very Hot,Routine operations,Fuel purchased for operational requirement.
FT-202607-00550,LANKATECH SOLUTIONS (PVT) LTD,2026-07-14,20:45:58,Kandy branch,Vehicle,WP CAZ 9034,Suzuki Wagon R,petrol ,27.39,L ,312.79,8567.32,Company Fuel Depot,RCP-101326,FUEL CARD,Lahiru Senanayake,94692.0,,Very Hot,Client site visits,Emergency fuel top-up.
FT-202607-01152,lankatechSolutions(Pvt)Ltd,2026-07-24,10:19:56,Colombo Head Office,Vehicle,CP BDT 5521,Toyota TownAce,diesel,52.16,Litres,305.87,15954.18,Local Fuel Station,,Corporate Credit,Chamath Jayasinghe,74323.0,,Rain,Month-end deliveries,Emergency fuel top-up.
FT-202607-00849,LankaTech Solutions (Pvt) Ltd,08-07-2026,19:07:13,Kandy Branch,Generator,GEN-KDY-01,Diesel Generator, Diesel,39.86,LTR,310.68,12383.7,Local Fuel Station,RCP-696731,cash,Lahiru Senanayake,,5.9,Heavy Rain,Month-end deliveries,Month-end fuel requirement.
